Advertising,Public Relations,Digital Marketing,Marketing Research,Marketing Technology,Agency Fees,Training and Development,Miscellaneous,Sales
19446,30135,43418,89934,105912,121329,147548,162609,75728
20727,32192,46382,95671,111895,127825,157078,173383,77542
22007,34247,49351,101295,118889,134745,167208,184109,79285
23286,36301,52316,106926,124878,141663,177336,194836,81067
24567,38347,55285,112571,130864,148597,187343,205579,82748
25849,40405,58250,118193,136850,155540,197276,216381,84365
27127,42462,61214,123911,143003,162484,206212,226499,86028
28407,44518,64179,129625,149155,169428,215147,236618,87742
29686,46573,67144,135337,155307,176373,223082,246738,89308
30967,48629,70109,141048,161459,183320,231017,256858,91026
1428,1724,2969,6825,7709,9124,10873,11749,1458
2657,4347,6605,12234,15108,16884,21569,23409,22358
3801,6082,9199,18382,22301,24498,32089,34762,33248
5103,7918,11831,23748,27909,31498,39934,43877,42098
6582,9643,14622,28762,33929,38872,49327,53542,48296
7872,11822,17183,35297,40847,46487,57502,63056,53527
9075,13834,20075,41739,48106,55187,68256,74692,58929
10467,15843,23074,47679,54529,63048,78049,85629,61837
11746,17879,25884,53986,61852,71325,88194,97159,64389
13025,19931,28693,60258,68876,79573,98261,108929,66574
14315,21962,31627,66571,76103,87852,108289,120029,68498
15590,24005,34614,72509,83468,96105,117394,129569,70049
16875,26041,37512,78429,90746,104457,127504,141109,71937
18157,28097,40489,84201,98125,112784,137278,151883,73809
19446,30135,43418,89934,105912,121329,147548,162609,75728
20727,32192,46382,95671,111895,127825,157078,173383,77542
22007,34247,49351,101295,118889,134745,167208,184109,79285
23286,36301,52316,106926,124878,141663,177336,194836,81067
24567,38347,55285,112571,130864,148597,187343,205579,82748
25849,40405,58250,118193,136850,155540,197276,216381,84365
27127,42462,61214,123911,143003,162484,206212,226499,86028
28407,44518,64179,129625,149155,169428,215147,236618,87742
29686,46573,67144,135337,155307,176373,223082,246738,89308
30967,48629,70109,141048,161459,183320,231017,256858,91026
32248,50685,73074,146759,167611,190268,238953,266978,92741
