Advertising,Digital Marketing,Sales,Marketing Research,Agency Fees,Training and Development,Promotions and Sponsorships
37.00,71.00,122.00,52.00,41.00,17.00,361.00
42.00,72.00,133.00,53.00,44.00,17.00,410.00
-5.00,71.00,122.00,51.00,76.00,46.00,503.00
81.00,146.00,291.00,145.00,65.00,40.00,1304.00
138.00,163.00,346.00,162.00,70.00,45.00,1091.00
116.00,149.00,295.00,149.00,60.00,41.00,1156.00
112.00,146.00,288.00,145.00,60.00,40.00,1304.00
15.00,65.00,117.00,53.00,50.00,20.00,361.00
11.00,60.00,108.00,49.00,48.00,18.00,414.00
16.00,32.00,53.00,21.00,16.00,5.00,454.00
12.00,26.00,44.00,18.00,16.00,5.00,478.00
67.00,116.00,200.00,84.00,49.00,26.00,500.00
111.00,201.00,345.00,144.00,90.00,47.00,862.00
119.00,213.00,367.00,154.00,94.00,50.00,829.00
156.00,265.00,456.00,191.00,109.00,63.00,865.00
150.00,222.00,376.00,154.00,72.00,49.00,833.00
136.00,139.00,262.00,95.00,55.00,30.00,608.00
220.00,335.00,587.00,252.00,115.00,83.00,1316.00
313.00,324.00,604.00,243.00,113.00,80.00,1260.00
149.00,239.00,478.00,239.00,90.00,66.00,1464.00
68.00,107.00,190.00,83.00,39.00,27.00,584.00
53.00,80.00,134.00,54.00,27.00,15.00,456.00
105.00,145.00,245.00,100.00,40.00,28.00,598.00
78.00,111.00,187.00,76.00,33.00,21.00,580.00
83.00,80.00,150.00,54.00,28.00,15.00,456.00
225.00,271.00,463.00,196.00,100.00,64.00,1167.00
259.00,387.00,678.00,291.00,128.00,96.00,1742.00
196.00,304.00,532.00,228.00,108.00,75.00,1691.00
91.00,126.00,213.00,87.00,35.00,24.00,756.00
95.00,132.00,223.00,91.00,37.00,25.00,777.00
62.00,100.00,178.00,78.00,38.00,25.00,593.00
157.00,139.00,262.00,95.00,40.00,26.00,821.00
30.00,51.00,85.00,34.00,21.00,9.00,777.00
29.00,49.00,82.00,33.00,20.00,9.00,768.00
47.00,71.00,119.00,48.00,24.00,13.00,829.00
44.00,68.00,115.00,47.00,24.00,13.00,834.00
45.00,51.00,92.00,35.00,21.00,9.00,776.00
55.00,64.00,106.00,43.00,22.00,12.00,822.00
45.00,70.00,118.00,48.00,25.00,13.00,851.00
31.00,51.00,85.00,34.00,20.00,9.00,863.00
80.00,85.00,143.00,59.00,25.00,16.00,842.00
45.00,84.00,133.00,49.00,39.00,15.00,342.00
44.00,82.00,130.00,48.00,38.00,14.00,351.00
41.00,78.00,125.00,47.00,37.00,14.00,371.00
30.00,65.00,104.00,39.00,35.00,12.00,380.00
49.00,88.00,141.00,53.00,39.00,16.00,321.00
109.00,113.00,201.00,67.00,45.00,20.00,400.00
96.00,109.00,185.00,65.00,44.00,20.00,372.00
86.00,99.00,169.00,60.00,41.00,18.00,329.00
46.00,66.00,114.00,41.00,35.00,12.00,320.00
31.00,68.00,114.00,46.00,37.00,14.00,388.00
21.00,54.00,90.00,36.00,33.00,11.00,462.00
34.00,71.00,120.00,49.00,37.00,15.00,454.00
27.00,63.00,106.00,43.00,36.00,13.00,466.00
39.00,65.00,109.00,45.00,34.00,14.00,410.00
32.00,59.00,98.00,40.00,33.00,12.00,443.00
29.00,54.00,89.00,36.00,31.00,11.00,462.00
36.00,63.00,111.00,48.00,27.00,15.00,593.00
87.00,133.00,236.00,103.00,46.00,33.00,564.00
77.00,120.00,214.00,94.00,43.00,31.00,540.00
42.00,107.00,193.00,86.00,65.00,32.00,484.00
25.00,83.00,150.00,67.00,58.00,25.00,599.00
39.00,88.00,159.00,72.00,56.00,27.00,606.00
50.00,98.00,189.00,79.00,64.00,30.00,593.00
1.00,87.00,160.00,63.00,86.00,57.00,187.00
-4.00,75.00,127.00,53.00,73.00,48.00,-267.00
-8.00,66.00,112.00,47.00,67.00,42.00,-395.00
-4.00,76.00,140.00,55.00,79.00,49.00,-1053.00
19.00,62.00,108.00,46.00,43.00,15.00,415.00
49.00,79.00,147.00,59.00,46.00,19.00,411.00
43.00,73.00,135.00,54.00,44.00,17.00,424.00
19.00,51.00,85.00,34.00,32.00,10.00,428.00
33.00,61.00,102.00,42.00,34.00,13.00,384.00
26.00,55.00,92.00,38.00,33.00,12.00,414.00
25.00,51.00,84.00,34.00,31.00,10.00,432.00
47.00,68.00,121.00,46.00,36.00,14.00,424.00
-3.00,74.00,126.00,52.00,77.00,47.00,509.00
-3.00,75.00,127.00,53.00,72.00,48.00,458.00
-8.00,63.00,106.00,44.00,64.00,40.00,496.00
-7.00,71.00,130.00,51.00,76.00,46.00,503.00
98.00,170.00,340.00,170.00,72.00,47.00,1073.00
154.00,171.00,382.00,170.00,76.00,47.00,1091.00
159.00,182.00,387.00,181.00,75.00,50.00,1283.00
15.00,71.00,129.00,58.00,56.00,22.00,325.00
15.00,32.00,53.00,21.00,17.00,5.00,449.00
22.00,32.00,56.00,21.00,17.00,5.00,449.00
24.00,32.00,56.00,21.00,16.00,5.00,454.00
79.00,141.00,235.00,94.00,62.00,31.00,697.00
103.00,172.00,286.00,114.00,69.00,37.00,810.00
65.00,123.00,205.00,82.00,58.00,27.00,788.00
144.00,155.00,285.00,112.00,58.00,34.00,502.00
120.00,134.00,245.00,96.00,53.00,29.00,666.00
52.00,77.00,130.00,53.00,25.00,14.00,803.00
44.00,48.00,91.00,33.00,21.00,9.00,777.00
80.00,85.00,143.00,59.00,25.00,16.00,842.00
80.00,85.00,143.00,59.00,25.00,16.00,870.00
9.00,111.00,190.00,79.00,102.00,72.00,551.00
18.00,134.00,230.00,96.00,116.00,87.00,683.00
14.00,111.00,213.00,79.00,107.00,72.00,551.00
44.00,173.00,294.00,124.00,131.00,112.00,717.00
60.00,116.00,202.00,86.00,56.00,28.00,547.00
48.00,62.00,109.00,48.00,25.00,15.00,593.00
13.00,66.00,120.00,54.00,53.00,20.00,312.00
47.00,92.00,170.00,78.00,45.00,24.00,995.00
76.00,103.00,187.00,86.00,45.00,26.00,1081.00
44.00,48.00,90.00,32.00,21.00,8.00,821.00
52.00,62.00,104.00,43.00,22.00,12.00,864.00
58.00,104.00,175.00,71.00,46.00,22.00,373.00
58.00,104.00,176.00,72.00,46.00,23.00,461.00
80.00,104.00,173.00,71.00,43.00,22.00,373.00
104.00,125.00,209.00,86.00,46.00,27.00,463.00
74.00,93.00,166.00,63.00,43.00,20.00,446.00
16.00,129.00,221.00,92.00,113.00,83.00,599.00
16.00,130.00,224.00,94.00,114.00,85.00,694.00
22.00,128.00,234.00,92.00,113.00,83.00,541.00
22.00,129.00,219.00,92.00,105.00,83.00,599.00
3.00,90.00,155.00,65.00,87.00,58.00,513.00
0.00,87.00,150.00,63.00,87.00,57.00,521.00
-5.00,66.00,113.00,47.00,71.00,42.00,622.00
-11.00,61.00,104.00,44.00,64.00,39.00,617.00
13.00,66.00,120.00,54.00,53.00,20.00,312.00
12.00,65.00,118.00,53.00,53.00,20.00,306.00
12.00,66.00,120.00,54.00,54.00,20.00,301.00
15.00,70.00,127.00,57.00,55.00,21.00,313.00
23.00,82.00,149.00,67.00,59.00,25.00,391.00
16.00,70.00,126.00,56.00,54.00,21.00,385.00
49.00,96.00,177.00,81.00,47.00,25.00,1046.00
56.00,103.00,189.00,86.00,47.00,26.00,1081.00
48.00,94.00,174.00,80.00,46.00,24.00,1055.00
51.00,96.00,176.00,80.00,45.00,24.00,1079.00
106.00,176.00,292.00,116.00,70.00,38.00,962.00
91.00,155.00,258.00,103.00,64.00,33.00,1130.00
109.00,140.00,230.00,92.00,57.00,30.00,1102.00
104.00,135.00,223.00,90.00,56.00,29.00,1139.00
156.00,174.00,308.00,115.00,69.00,37.00,1166.00
45.00,70.00,118.00,48.00,25.00,13.00,839.00
55.00,64.00,106.00,43.00,22.00,12.00,822.00
65.00,68.00,123.00,47.00,24.00,13.00,834.00
45.00,84.00,133.00,49.00,39.00,15.00,342.00
42.00,79.00,126.00,47.00,37.00,14.00,366.00
109.00,113.00,201.00,67.00,45.00,20.00,400.00
67.00,84.00,142.00,49.00,39.00,15.00,342.00
45.00,66.00,114.00,41.00,36.00,12.00,320.00
48.00,89.00,150.00,61.00,41.00,19.00,390.00
38.00,77.00,129.00,52.00,39.00,16.00,376.00
30.00,68.00,114.00,46.00,38.00,14.00,388.00
42.00,63.00,113.00,43.00,35.00,13.00,466.00
35.00,63.00,112.00,49.00,28.00,16.00,611.00
11.00,30.00,52.00,22.00,19.00,7.00,570.00
13.00,32.00,56.00,24.00,19.00,7.00,567.00
52.00,62.00,117.00,48.00,27.00,15.00,617.00
112.00,152.00,256.00,104.00,40.00,29.00,821.00
197.00,179.00,322.00,123.00,46.00,34.00,959.00
121.00,124.00,208.00,86.00,33.00,24.00,499.00
135.00,136.00,228.00,94.00,35.00,26.00,608.00
71.00,73.00,131.00,50.00,25.00,14.00,589.00
42.00,83.00,140.00,57.00,41.00,18.00,364.00
65.00,83.00,157.00,57.00,43.00,18.00,364.00
35.00,61.00,102.00,42.00,33.00,13.00,384.00
26.00,51.00,84.00,34.00,30.00,10.00,432.00
44.00,96.00,160.00,64.00,52.00,21.00,-161.00
13.00,66.00,120.00,54.00,53.00,20.00,312.00
12.00,65.00,118.00,53.00,53.00,20.00,306.00
13.00,66.00,120.00,54.00,53.00,20.00,301.00
17.00,72.00,130.00,58.00,55.00,22.00,338.00
14.00,67.00,121.00,54.00,53.00,20.00,391.00
19.00,66.00,128.00,54.00,53.00,20.00,301.00
25.00,74.00,132.00,59.00,52.00,22.00,403.00
21.00,67.00,129.00,54.00,53.00,20.00,391.00
9.00,111.00,190.00,79.00,102.00,72.00,551.00
17.00,132.00,227.00,95.00,115.00,86.00,532.00
17.00,129.00,221.00,92.00,112.00,83.00,599.00
32.00,173.00,297.00,124.00,141.00,112.00,717.00
16.00,130.00,224.00,94.00,114.00,85.00,694.00
23.00,129.00,219.00,92.00,104.00,83.00,599.00
33.00,154.00,262.00,110.00,121.00,100.00,665.00
30.00,145.00,266.00,105.00,125.00,95.00,716.00
58.00,114.00,199.00,85.00,56.00,28.00,555.00
51.00,103.00,180.00,77.00,52.00,25.00,557.00
74.00,103.00,192.00,77.00,53.00,25.00,423.00
86.00,112.00,208.00,83.00,54.00,27.00,433.00
87.00,121.00,210.00,91.00,54.00,30.00,533.00
98.00,130.00,225.00,97.00,55.00,32.00,575.00
50.00,96.00,177.00,81.00,46.00,25.00,1046.00
59.00,81.00,168.00,69.00,45.00,21.00,965.00
62.00,84.00,164.00,70.00,42.00,21.00,957.00
71.00,94.00,185.00,80.00,46.00,24.00,1055.00
74.00,96.00,188.00,80.00,46.00,24.00,1079.00
34.00,62.00,110.00,48.00,28.00,15.00,623.00
35.00,62.00,110.00,48.00,27.00,15.00,599.00
34.00,62.00,110.00,48.00,28.00,15.00,593.00
18.00,39.00,69.00,30.00,21.00,9.00,581.00
13.00,32.00,56.00,24.00,19.00,7.00,567.00
50.00,63.00,119.00,49.00,29.00,16.00,611.00
25.00,39.00,68.00,30.00,20.00,9.00,581.00
15.00,29.00,54.00,22.00,19.00,7.00,573.00
63.00,105.00,167.00,62.00,42.00,19.00,346.00
46.00,84.00,133.00,49.00,38.00,15.00,342.00
40.00,65.00,103.00,39.00,33.00,12.00,380.00
79.00,94.00,161.00,57.00,41.00,17.00,349.00
71.00,88.00,150.00,53.00,40.00,16.00,321.00
43.00,68.00,115.00,47.00,25.00,13.00,772.00
51.00,77.00,130.00,53.00,26.00,14.00,803.00
58.00,85.00,144.00,59.00,27.00,16.00,870.00
63.00,91.00,154.00,63.00,28.00,17.00,864.00
45.00,70.00,118.00,48.00,25.00,13.00,851.00
27.00,47.00,78.00,31.00,20.00,8.00,856.00
70.00,72.00,129.00,49.00,25.00,13.00,779.00
70.00,77.00,129.00,53.00,24.00,14.00,803.00
80.00,85.00,143.00,59.00,25.00,16.00,870.00
87.00,91.00,153.00,63.00,26.00,17.00,864.00
67.00,70.00,126.00,48.00,25.00,13.00,851.00
31.00,68.00,114.00,46.00,37.00,14.00,388.00
30.00,67.00,113.00,46.00,37.00,14.00,449.00
33.00,71.00,120.00,49.00,38.00,15.00,454.00
28.00,63.00,106.00,43.00,35.00,13.00,466.00
46.00,68.00,121.00,46.00,37.00,14.00,388.00
33.00,59.00,98.00,40.00,33.00,12.00,443.00
29.00,54.00,89.00,36.00,31.00,11.00,462.00
45.00,67.00,120.00,46.00,37.00,14.00,449.00
42.00,63.00,113.00,43.00,35.00,13.00,466.00
7.00,105.00,180.00,75.00,98.00,68.00,522.00
2.00,90.00,154.00,64.00,88.00,58.00,551.00
11.00,105.00,201.00,75.00,103.00,68.00,522.00
1.00,87.00,160.00,63.00,86.00,57.00,506.00
0.00,84.00,153.00,60.00,84.00,54.00,606.00
-4.00,76.00,140.00,55.00,79.00,49.00,627.00
292.00,295.00,582.00,251.00,98.00,77.00,1268.00
94.00,107.00,188.00,83.00,36.00,27.00,584.00
39.00,51.00,96.00,39.00,25.00,12.00,541.00
120.00,163.00,276.00,113.00,43.00,31.00,897.00
33.00,80.00,140.00,60.00,47.00,19.00,336.00
51.00,80.00,157.00,60.00,49.00,19.00,336.00
35.00,72.00,121.00,49.00,37.00,15.00,351.00
19.00,51.00,85.00,34.00,32.00,10.00,432.00
19.00,51.00,85.00,34.00,32.00,10.00,428.00
40.00,64.00,114.00,43.00,37.00,13.00,363.00
30.00,79.00,131.00,52.00,49.00,17.00,-456.00
46.00,81.00,134.00,54.00,45.00,17.00,-321.00
105.00,144.00,243.00,99.00,39.00,27.00,766.00
134.00,126.00,227.00,87.00,36.00,24.00,756.00
199.00,179.00,322.00,123.00,45.00,34.00,959.00
68.00,107.00,190.00,83.00,39.00,27.00,584.00
101.00,107.00,202.00,83.00,39.00,27.00,613.00
98.00,112.00,197.00,87.00,38.00,28.00,564.00
62.00,74.00,141.00,58.00,32.00,19.00,548.00
40.00,51.00,96.00,39.00,24.00,12.00,541.00
105.00,145.00,245.00,100.00,40.00,28.00,822.00
147.00,137.00,247.00,95.00,38.00,26.00,809.00
150.00,139.00,249.00,95.00,38.00,26.00,799.00
156.00,145.00,261.00,100.00,40.00,28.00,822.00
155.00,152.00,254.00,104.00,37.00,29.00,871.00
192.00,185.00,309.00,127.00,43.00,35.00,1007.00
30.00,56.00,100.00,44.00,26.00,14.00,623.00
32.00,60.00,106.00,46.00,28.00,15.00,608.00
27.00,53.00,94.00,41.00,26.00,13.00,592.00
47.00,56.00,112.00,44.00,27.00,14.00,623.00
47.00,60.00,113.00,46.00,28.00,15.00,608.00
54.00,80.00,134.00,54.00,26.00,15.00,456.00
88.00,124.00,210.00,86.00,36.00,24.00,499.00
98.00,136.00,230.00,94.00,38.00,26.00,608.00
84.00,118.00,199.00,81.00,34.00,22.00,588.00
79.00,111.00,187.00,76.00,32.00,21.00,580.00
48.00,73.00,123.00,50.00,25.00,14.00,589.00
119.00,112.00,201.00,77.00,32.00,21.00,449.00
137.00,136.00,228.00,94.00,34.00,26.00,562.00
71.00,73.00,131.00,50.00,25.00,14.00,589.00
59.00,114.00,189.00,75.00,55.00,24.00,549.00
44.00,96.00,160.00,64.00,52.00,21.00,593.00
33.00,81.00,135.00,54.00,48.00,17.00,641.00
31.00,79.00,131.00,52.00,48.00,17.00,668.00
39.00,90.00,150.00,60.00,51.00,19.00,656.00
56.00,110.00,182.00,72.00,54.00,23.00,650.00
58.00,114.00,189.00,75.00,56.00,24.00,659.00
71.00,102.00,181.00,68.00,54.00,22.00,559.00
43.00,79.00,130.00,52.00,45.00,17.00,668.00
94.00,163.00,325.00,162.00,69.00,45.00,1091.00
81.00,146.00,291.00,145.00,65.00,40.00,1304.00
82.00,146.00,291.00,145.00,64.00,40.00,1292.00
87.00,153.00,306.00,153.00,66.00,42.00,1319.00
129.00,155.00,330.00,155.00,68.00,43.00,1280.00
-5.00,71.00,122.00,51.00,76.00,46.00,503.00
-4.00,73.00,125.00,52.00,77.00,47.00,509.00
-6.00,73.00,133.00,52.00,77.00,47.00,421.00
-10.00,63.00,106.00,44.00,65.00,40.00,496.00
-14.00,56.00,94.00,39.00,61.00,36.00,517.00
33.00,80.00,140.00,60.00,47.00,19.00,329.00
20.00,62.00,108.00,46.00,42.00,15.00,415.00
29.00,73.00,127.00,54.00,44.00,17.00,424.00
28.00,62.00,107.00,46.00,39.00,15.00,415.00
13.00,67.00,121.00,54.00,54.00,20.00,337.00
13.00,66.00,120.00,54.00,53.00,20.00,404.00
6.00,57.00,103.00,46.00,51.00,17.00,422.00
9.00,57.00,110.00,46.00,51.00,17.00,422.00
36.00,76.00,140.00,64.00,40.00,19.00,965.00
32.00,73.00,135.00,62.00,41.00,19.00,952.00
27.00,66.00,122.00,56.00,39.00,17.00,992.00
27.00,64.00,118.00,54.00,37.00,16.00,1037.00
26.00,63.00,116.00,53.00,37.00,16.00,1054.00
50.00,75.00,147.00,63.00,41.00,19.00,965.00
37.00,66.00,121.00,56.00,36.00,17.00,992.00
73.00,134.00,222.00,88.00,61.00,29.00,653.00
144.00,172.00,283.00,114.00,63.00,37.00,822.00
71.00,120.00,206.00,86.00,49.00,26.00,490.00
16.00,128.00,220.00,92.00,112.00,83.00,541.00
