Advertising,Digital Marketing,Sales,Marketing Research,Agency Fees,Training and Development,Promotions and Sponsorships
45,68,121,46,38,14,388
33,59,98,40,33,12,443
28,54,89,36,32,11,458
50,71,128,49,37,15,454
32,58,103,45,26,14,605
34,62,110,48,28,15,599
34,62,110,48,28,15,593
36,65,115,50,29,16,587
17,39,69,30,22,9,581
21,43,76,33,22,10,577
10,29,51,22,19,7,573
55,62,123,48,28,15,623
47,62,109,48,26,15,599
50,65,114,50,27,16,587
15,29,54,22,19,7,573
19,32,60,24,19,7,567
-84,-21,106,127,63,40,1215
-138,-67,87,154,71,49,1832
-3,50,162,95,55,30,608
-131,-25,109,127,63,40,2947
276,428,712,284,152,99,2108
410,428,759,284,152,99,2108
88,114,201,75,55,24,659
25,168,289,121,143,109,788
216,329,576,247,113,81,1744
321,329,614,247,113,81,1744
148,137,247,95,37,26,809
196,295,546,251,99,77,1268
291,295,582,251,99,77,1268
26,51,90,39,25,12,541
120,163,276,113,43,31,897
79,111,187,76,32,21,580
192,288,532,244,96,75,1213
112,152,256,104,40,29,952
133,179,302,123,46,34,915
184,178,298,123,42,34,941
48,73,123,50,25,14,589
26,51,84,34,30,10,428
83,117,198,81,34,22,460
84,80,150,54,27,15,456
123,124,208,86,33,24,499
-224,-69,66,135,155,122,3641
-304,-59,70,125,146,113,1382
-392,-95,77,173,176,156,2615
316,369,647,284,130,107,1565
-238,-139,112,251,99,77,3948
138,185,312,127,47,35,1007
190,185,309,127,44,35,1007
187,283,543,260,96,72,1271
646,526,815,239,91,66,1197
364,387,687,258,142,90,2067
508,546,902,364,166,127,2617
349,374,664,249,139,87,2580
47,101,168,67,54,22,677
203,312,546,234,109,77,1310
220,336,589,253,116,83,1686
292,304,567,228,107,75,1691
84,117,198,81,33,22,984
165,253,467,214,88,66,923
174,265,490,225,91,69,1272
52,68,119,52,28,17,554
128,172,290,118,44,33,930
230,266,527,266,92,74,1819
230,266,527,266,92,74,1797
197,295,546,251,98,77,1268
70,109,193,84,39,27,603
26,51,90,39,25,12,541
52,79,133,54,27,15,601
119,112,201,77,32,21,449
33,80,140,60,47,19,329
31,77,134,57,46,18,323
28,63,109,47,40,15,420
24,60,101,41,36,13,435
37,71,122,52,41,17,361
42,72,133,53,44,17,410
-5,71,122,51,76,46,503
81,146,291,145,65,40,1304
138,163,346,162,70,45,1091
116,149,295,149,60,41,1156
112,146,288,145,60,40,1304
15,65,117,53,50,20,361
11,60,108,49,48,18,414
16,32,53,21,16,5,454
12,26,44,18,16,5,478
67,116,200,84,49,26,500
111,201,345,144,90,47,862
119,213,367,154,94,50,829
156,265,456,191,109,63,865
150,222,376,154,72,49,833
136,139,262,95,55,30,608
220,335,587,252,115,83,1316
313,324,604,243,113,80,1260
149,239,478,239,90,66,1464
68,107,190,83,39,27,584
53,80,134,54,27,15,456
105,145,245,100,40,28,598
78,111,187,76,33,21,580
83,80,150,54,28,15,456
225,271,463,196,100,64,1167
259,387,678,291,128,96,1742
196,304,532,228,108,75,1691
91,126,213,87,35,24,756
95,132,223,91,37,25,777
62,100,178,78,38,25,593
157,139,262,95,40,26,821
30,51,85,34,21,9,777
29,49,82,33,20,9,768
47,71,119,48,24,13,829
44,68,115,47,24,13,834
45,51,92,35,21,9,776
55,64,106,43,22,12,822
45,70,118,48,25,13,851
31,51,85,34,20,9,863
80,85,143,59,25,16,842
45,84,133,49,39,15,342
44,82,130,48,38,14,351
41,78,125,47,37,14,371
30,65,104,39,35,12,380
49,88,141,53,39,16,321
109,113,201,67,45,20,400
96,109,185,65,44,20,372
86,99,169,60,41,18,329
46,66,114,41,35,12,320
31,68,114,46,37,14,388
21,54,90,36,33,11,462
34,71,120,49,37,15,454
27,63,106,43,36,13,466
39,65,109,45,34,14,410
32,59,98,40,33,12,443
29,54,89,36,31,11,462
36,63,111,48,27,15,593
87,133,236,103,46,33,564
77,120,214,94,43,31,540
42,107,193,86,65,32,484
25,83,150,67,58,25,599
39,88,159,72,56,27,606
50,98,189,79,64,30,593
1,87,160,63,86,57,187
-4,75,127,53,73,48,-267
-8,66,112,47,67,42,-395
-4,76,140,55,79,49,-1053
19,62,108,46,43,15,415
49,79,147,59,46,19,411
43,73,135,54,44,17,424
19,51,85,34,32,10,428
33,61,102,42,34,13,384
26,55,92,38,33,12,414
25,51,84,34,31,10,432
47,68,121,46,36,14,424
-3,74,126,52,77,47,509
-3,75,127,53,72,48,458
-8,63,106,44,64,40,496
-7,71,130,51,76,46,503
98,170,340,170,72,47,1073
154,171,382,170,76,47,1091
159,182,387,181,75,50,1283
15,71,129,58,56,22,325
15,32,53,21,17,5,449
22,32,56,21,17,5,449
24,32,56,21,16,5,454
79,141,235,94,62,31,697
103,172,286,114,69,37,810
65,123,205,82,58,27,788
144,155,285,112,58,34,502
120,134,245,96,53,29,666
52,77,130,53,25,14,803
44,48,91,33,21,9,777
80,85,143,59,25,16,842
80,85,143,59,25,16,870
9,111,190,79,102,72,551
18,134,230,96,116,87,683
14,111,213,79,107,72,551
44,173,294,124,131,112,717
60,116,202,86,56,28,547
48,62,109,48,25,15,593
13,66,120,54,53,20,312
47,92,170,78,45,24,995
76,103,187,86,45,26,1081
44,48,90,32,21,8,821
52,62,104,43,22,12,864
58,104,175,71,46,22,373
58,104,176,72,46,23,461
80,104,173,71,43,22,373
104,125,209,86,46,27,463
74,93,166,63,43,20,446
16,129,221,92,113,83,599
16,130,224,94,114,85,694
22,128,234,92,113,83,541
22,129,219,92,105,83,599
3,90,155,65,87,58,513
0,87,150,63,87,57,521
-5,66,113,47,71,42,622
-11,61,104,44,64,39,617
13,66,120,54,53,20,312
12,65,118,53,53,20,306
12,66,120,54,54,20,301
15,70,127,57,55,21,313
23,82,149,67,59,25,391
16,70,126,56,54,21,385
49,96,177,81,47,25,1046
56,103,189,86,47,26,1081
48,94,174,80,46,24,1055
51,96,176,80,45,24,1079
106,176,292,116,70,38,962
91,155,258,103,64,33,1130
109,140,230,92,57,30,1102
104,135,223,90,56,29,1139
156,174,308,115,69,37,1166
45,70,118,48,25,13,839
55,64,106,43,22,12,822
65,68,123,47,24,13,834
45,84,133,49,39,15,342
42,79,126,47,37,14,366
109,113,201,67,45,20,400
67,84,142,49,39,15,342
45,66,114,41,36,12,320
48,89,150,61,41,19,390
38,77,129,52,39,16,376
30,68,114,46,38,14,388
42,63,113,43,35,13,466
35,63,112,49,28,16,611
11,30,52,22,19,7,570
13,32,56,24,19,7,567
52,62,117,48,27,15,617
112,152,256,104,40,29,821
197,179,322,123,46,34,959
121,124,208,86,33,24,499
135,136,228,94,35,26,608
71,73,131,50,25,14,589
42,83,140,57,41,18,364
65,83,157,57,43,18,364
35,61,102,42,33,13,384
26,51,84,34,30,10,432
44,96,160,64,52,21,-161
13,66,120,54,53,20,312
12,65,118,53,53,20,306
13,66,120,54,53,20,301
17,72,130,58,55,22,338
14,67,121,54,53,20,391
19,66,128,54,53,20,301
25,74,132,59,52,22,403
21,67,129,54,53,20,391
9,111,190,79,102,72,551
17,132,227,95,115,86,532
17,129,221,92,112,83,599
32,173,297,124,141,112,717
16,130,224,94,114,85,694
23,129,219,92,104,83,599
33,154,262,110,121,100,665
30,145,266,105,125,95,716
58,114,199,85,56,28,555
51,103,180,77,52,25,557
74,103,192,77,53,25,423
86,112,208,83,54,27,433
87,121,210,91,54,30,533
98,130,225,97,55,32,575
50,96,177,81,46,25,1046
59,81,168,69,45,21,965
62,84,164,70,42,21,957
71,94,185,80,46,24,1055
74,96,188,80,46,24,1079
34,62,110,48,28,15,623
35,62,110,48,27,15,599
34,62,110,48,28,15,593
18,39,69,30,21,9,581
13,32,56,24,19,7,567
50,63,119,49,29,16,611
25,39,68,30,20,9,581
15,29,54,22,19,7,573
63,105,167,62,42,19,346
46,84,133,49,38,15,342
40,65,103,39,33,12,380
79,94,161,57,41,17,349
71,88,150,53,40,16,321
43,68,115,47,25,13,772
51,77,130,53,26,14,803
58,85,144,59,27,16,870
63,91,154,63,28,17,864
45,70,118,48,25,13,851
27,47,78,31,20,8,856
70,72,129,49,25,13,779
70,77,129,53,24,14,803
80,85,143,59,25,16,870
87,91,153,63,26,17,864
67,70,126,48,25,13,851
31,68,114,46,37,14,388
30,67,113,46,37,14,449
33,71,120,49,38,15,454
28,63,106,43,35,13,466
46,68,121,46,37,14,388
33,59,98,40,33,12,443
29,54,89,36,31,11,462
45,67,120,46,37,14,449
42,63,113,43,35,13,466
7,105,180,75,98,68,522
2,90,154,64,88,58,551
11,105,201,75,103,68,522
1,87,160,63,86,57,506
0,84,153,60,84,54,606
-4,76,140,55,79,49,627
292,295,582,251,98,77,1268
94,107,188,83,36,27,584
39,51,96,39,25,12,541
120,163,276,113,43,31,897
33,80,140,60,47,19,336
51,80,157,60,49,19,336
35,72,121,49,37,15,351
19,51,85,34,32,10,432
19,51,85,34,32,10,428
40,64,114,43,37,13,363
30,79,131,52,49,17,-456
46,81,134,54,45,17,-321
105,144,243,99,39,27,766
134,126,227,87,36,24,756
199,179,322,123,45,34,959
68,107,190,83,39,27,584
101,107,202,83,39,27,613
98,112,197,87,38,28,564
62,74,141,58,32,19,548
40,51,96,39,24,12,541
105,145,245,100,40,28,822
147,137,247,95,38,26,809
150,139,249,95,38,26,799
156,145,261,100,40,28,822
155,152,254,104,37,29,871
192,185,309,127,43,35,1007
30,56,100,44,26,14,623
32,60,106,46,28,15,608
27,53,94,41,26,13,592
47,56,112,44,27,14,623
47,60,113,46,28,15,608
54,80,134,54,26,15,456
88,124,210,86,36,24,499
98,136,230,94,38,26,608
84,118,199,81,34,22,588
79,111,187,76,32,21,580
48,73,123,50,25,14,589
119,112,201,77,32,21,449
137,136,228,94,34,26,562
71,73,131,50,25,14,589
59,114,189,75,55,24,549
44,96,160,64,52,21,593
33,81,135,54,48,17,641
31,79,131,52,48,17,668
39,90,150,60,51,19,656
56,110,182,72,54,23,650
58,114,189,75,56,24,659
71,102,181,68,54,22,559
43,79,130,52,45,17,668
94,163,325,162,69,45,1091
81,146,291,145,65,40,1304
82,146,291,145,64,40,1292
87,153,306,153,66,42,1319
129,155,330,155,68,43,1280
-5,71,122,51,76,46,503
-4,73,125,52,77,47,509
-6,73,133,52,77,47,421
-10,63,106,44,65,40,496
-14,56,94,39,61,36,517
33,80,140,60,47,19,329
20,62,108,46,42,15,415
29,73,127,54,44,17,424
28,62,107,46,39,15,415
13,67,121,54,54,20,337
13,66,120,54,53,20,404
6,57,103,46,51,17,422
9,57,110,46,51,17,422
36,76,140,64,40,19,965
32,73,135,62,41,19,952
27,66,122,56,39,17,992
27,64,118,54,37,16,1037
26,63,116,53,37,16,1054
50,75,147,63,41,19,965
37,66,121,56,36,17,992
73,134,222,88,61,29,653
144,172,283,114,63,37,822
71,120,206,86,49,26,490
16,128,220,92,112,83,541
21,145,250,105,124,95,716
31,145,266,105,124,95,716
78,103,201,77,56,25,432
31,58,103,45,27,14,605
15,70,127,57,55,21,313
17,72,130,58,55,22,338
20,77,140,63,57,23,397
24,82,149,67,58,25,391
36,82,159,67,58,25,391
34,80,155,65,57,24,403
49,96,177,81,47,25,1046
70,123,226,103,53,31,1073
48,94,174,80,46,24,1055
129,225,387,162,96,53,1148
87,139,234,95,52,30,608
116,178,301,123,62,39,611
207,222,373,154,67,49,817
203,312,546,234,109,77,1310
326,335,626,252,115,83,1316
326,336,628,253,116,83,1686
226,261,516,260,90,72,1715
133,179,302,123,46,34,959
133,178,301,123,45,34,947
143,191,323,132,48,36,994
151,139,249,95,37,26,799
79,112,189,77,33,21,449
53,79,133,54,26,15,601
123,117,211,81,34,22,460
46,81,134,54,45,17,641
88,114,201,75,55,24,659
-182,-26,132,144,96,47,862
59,96,159,64,49,21,593
317,349,607,263,111,86,1433
160,245,452,207,85,64,965
38,68,120,52,30,17,554
92,107,188,83,37,27,574
111,152,256,104,41,29,821
134,179,302,123,45,34,928
199,179,322,123,45,34,928
105,145,245,100,40,28,598
221,239,509,239,90,66,1417
232,249,531,249,93,69,1775
115,206,354,148,91,48,844
208,329,567,238,121,78,1190
171,206,377,148,91,48,844
230,278,474,200,103,66,1095
288,310,569,224,116,73,1191
172,178,321,123,62,39,611
181,185,332,127,63,40,830
211,324,567,243,113,80,1260
241,362,634,272,121,89,1616
316,312,611,234,114,77,1310
332,341,637,257,117,84,1662
142,229,457,228,87,63,1436
164,261,521,260,97,72,1715
168,266,532,266,98,74,1819
155,249,498,249,94,69,1775
149,239,478,239,90,66,1755
95,130,219,89,35,24,777
111,152,256,104,41,29,952
127,172,290,118,45,33,930
135,126,227,87,35,24,756
197,179,322,123,46,34,928
72,112,199,87,40,28,564
54,68,119,52,27,17,554
64,74,141,58,31,19,548
40,51,96,39,24,12,541
40,52,98,40,25,13,536
43,56,106,43,27,14,531
155,152,254,104,37,29,871
192,185,309,127,43,35,1007
197,191,320,132,45,36,994
131,124,224,86,36,24,1003
99,136,230,94,37,26,562
137,136,228,94,34,26,608
145,145,243,100,37,28,598
33,81,135,54,48,17,641
43,79,130,52,45,17,668
42,107,193,86,65,32,484
25,83,150,67,58,25,599
61,105,213,85,69,32,494
58,104,201,85,65,32,476
43,93,167,76,58,28,613
35,77,142,65,42,20,1042
32,72,132,60,40,18,1070
34,74,136,62,40,19,1059
38,81,150,69,43,21,1060
73,92,190,78,47,24,965
67,89,174,74,44,22,949
44,72,131,60,37,18,1070
-3,43,77,34,46,12,240
-4,41,74,33,45,12,243
-3,44,84,35,46,13,197
-3,45,80,36,44,13,212
3,51,97,40,49,15,244
-4,43,82,34,46,12,240
-6,41,79,33,45,12,243
29,49,83,34,20,9,890
36,59,99,40,23,11,881
51,78,132,54,27,15,885
48,73,123,50,25,14,898
71,73,131,50,25,14,814
64,68,123,47,25,13,821
46,55,91,37,20,10,876
35,57,96,39,22,10,845
27,48,81,33,21,9,836
27,46,77,31,19,8,844
48,57,95,39,20,10,845
40,47,84,32,20,8,837
-6,63,107,44,69,40,261
2,88,151,63,86,57,332
-11,61,103,43,64,39,282
-10,62,113,44,69,40,325
-12,62,113,44,70,40,325
-7,69,126,49,74,44,335
-39,11,99,88,50,27,525
-61,11,111,88,52,27,525
-46,25,140,116,54,35,1142
-13,40,130,82,49,25,1804
9,47,82,35,38,11,196
14,53,92,39,39,12,212
13,52,91,39,39,12,248
16,49,91,36,38,11,187
23,59,102,44,39,14,258
19,53,98,39,40,12,244
16,51,95,38,40,12,256
-7,38,68,30,45,11,165
-9,36,65,29,45,11,169
-4,42,76,34,46,12,182
-12,30,54,24,42,9,212
-12,36,64,29,42,11,215
247,390,650,260,143,91,2548
402,420,745,279,149,97,2642
98,136,230,94,38,26,608
-172,-44,61,105,128,95,725
252,386,651,265,134,100,1613
363,398,663,271,126,102,1727
-131,-37,198,235,94,72,2169
-170,-75,164,239,95,74,4360
156,145,261,100,40,28,822
91,126,213,87,35,24,756
127,172,290,118,45,33,930
36,59,99,40,23,11,793
36,59,99,40,23,11,843
46,71,119,48,25,13,834
46,71,120,49,25,13,845
50,59,98,40,21,11,793
68,71,127,48,25,13,834
65,68,123,47,24,13,834
47,72,121,49,25,13,767
48,72,121,49,24,13,779
52,77,130,53,25,14,803
58,85,144,59,27,16,842
58,85,144,59,27,16,870
44,48,91,33,21,9,777
63,105,167,62,42,19,346
67,84,142,49,39,15,342
41,65,103,39,33,12,380
57,79,125,47,35,14,366
73,88,150,53,39,16,321
28,65,110,45,37,14,410
23,59,99,40,36,12,443
30,67,113,46,37,14,449
45,67,120,46,37,14,449
40,63,113,43,36,13,466
32,60,106,46,28,15,587
55,90,159,69,35,22,572
55,63,125,49,29,16,623
52,63,119,49,28,16,617
50,62,117,48,28,15,611
129,133,251,103,46,33,564
39,104,189,85,65,32,476
32,93,169,76,61,28,580
31,93,169,76,62,28,613
62,105,213,85,68,32,494
44,93,167,76,57,28,580
39,85,163,68,59,25,619
2,90,155,65,88,58,342
1,87,150,63,86,57,187
-3,75,128,53,78,48,-267
2,87,149,62,85,56,-613
1,84,144,60,83,54,-762
3,90,165,65,88,58,342
3,87,159,62,85,56,-613
1,86,157,61,85,55,-906
11,27,45,18,16,5,821
17,36,61,25,19,7,854
13,29,48,19,16,5,848
15,27,48,18,17,5,818
17,29,49,20,16,5,829
25,35,57,23,16,6,843
26,38,62,25,18,7,851
19,29,51,19,16,5,848
6,35,63,28,29,8,961
7,39,72,33,32,10,1003
4,33,65,28,30,8,964
12,41,74,34,30,10,1010
21,49,89,41,32,12,1007
9,28,49,21,19,6,614
-1,14,24,10,15,3,594
18,31,58,23,19,7,617
4,20,37,15,17,4,600
-4,13,25,10,16,3,596
11,28,47,19,17,5,774
12,29,49,20,17,5,784
18,35,58,23,17,6,800
27,35,62,23,17,6,803
31,43,43,0,12,0,602
32,43,43,0,11,0,473
47,43,46,0,11,0,774
258,387,678,291,129,96,1742
319,349,607,263,110,86,1433
326,336,628,253,116,83,1686
332,341,637,257,117,84,1662
102,158,267,109,56,34,585
115,178,301,123,63,39,611
136,204,345,141,68,45,764
150,222,376,154,72,49,833
123,185,312,127,62,40,830
171,178,321,123,63,39,611
148,239,478,239,91,66,1464
220,228,510,228,91,63,1459
228,261,516,260,89,72,1559
230,266,527,266,92,74,1797
175,301,546,245,126,93,1419
197,332,602,270,135,102,1834
173,300,545,245,127,93,1784
74,125,214,89,51,27,481
100,159,273,114,59,35,555
102,161,277,116,59,35,678
120,134,245,96,53,29,666
72,77,129,53,23,14,803
45,51,91,34,21,9,863
25,132,242,95,115,86,532
63,121,212,91,58,30,533
89,116,215,86,56,28,547
46,58,110,45,27,14,605
61,81,168,69,44,21,965
39,45,80,30,19,8,882
27,173,298,125,146,113,700
40,173,318,125,146,113,700
313,324,604,243,113,80,1260
245,253,498,214,88,66,923
40,52,98,40,25,13,536
43,56,106,43,27,14,531
199,179,322,123,45,34,959
218,228,510,228,92,63,1459
68,107,190,83,39,27,623
71,112,199,87,41,28,564
42,74,132,58,32,19,548
95,130,219,89,35,24,777
96,132,223,91,36,25,777
126,118,212,81,33,22,588
39,71,131,52,45,17,405
42,73,135,54,45,17,424
27,64,107,43,37,13,363
56,76,136,52,38,16,357
54,108,180,72,54,23,189
27,71,123,52,44,17,361
33,79,138,59,46,19,411
53,80,157,60,48,19,336
49,80,149,60,47,19,329
56,76,136,52,38,16,357
52,72,129,49,37,15,351
40,64,114,43,37,13,363
26,51,84,34,30,10,428
36,60,108,41,36,13,435
-9,56,95,39,65,36,517
22,71,137,58,56,22,325
17,34,56,22,17,6,452
16,33,55,22,17,6,865
29,49,82,33,20,9,870
39,45,80,30,19,8,820
62,119,197,78,57,25,798
137,167,276,111,63,36,767
103,161,277,116,58,35,678
34,56,94,38,22,10,772
40,64,107,43,24,12,822
47,51,95,34,22,9,777
43,49,87,33,20,9,768
50,59,98,40,21,11,843
70,71,127,48,24,13,829
72,77,129,53,23,14,803
46,51,91,34,20,9,863
70,113,180,67,43,20,400
41,79,126,47,38,14,366
57,78,124,47,34,14,371
79,94,161,57,41,17,349
48,89,150,61,41,19,390
75,89,168,61,43,19,390
46,67,120,46,36,14,454
50,71,128,49,37,15,454
35,63,112,49,28,16,623
35,63,112,49,28,16,617
34,62,110,48,28,15,611
85,130,231,101,45,33,552
50,63,110,48,25,15,593
44,60,105,46,26,15,587
82,90,169,69,35,22,572
35,98,178,80,63,30,494
33,96,173,77,63,29,529
38,102,184,82,64,31,601
52,98,190,80,63,30,494
46,96,171,77,59,29,529
56,102,196,82,64,31,601
-10,61,104,44,63,39,-508
589,451,553,68,54,22,-348
9,26,44,18,17,5,486
6,68,105,37,62,33,540
-20,52,99,47,72,42,571
-18,65,125,52,77,47,458
8,68,104,37,58,33,540
-12,68,128,52,76,47,554
17,72,130,58,55,22,338
9,60,109,49,51,18,414
19,66,128,54,53,20,404
23,43,72,29,20,8,862
31,52,88,36,21,10,862
84,149,298,149,65,41,1156
83,149,298,149,66,41,1245
112,146,288,145,60,40,1304
236,374,623,249,138,87,2580
54,80,134,54,26,15,456
117,112,201,77,33,21,449
137,136,228,94,34,26,562
-266,-85,77,162,181,147,2321
-202,-60,61,121,142,109,3385
-367,-85,76,162,168,147,2321
-177,-32,194,214,87,66,1480
101,139,234,95,38,26,821
106,145,245,100,39,28,981
148,137,247,95,37,26,809
151,139,249,95,37,26,799
141,132,238,91,37,25,777
167,163,274,113,39,31,897
288,284,557,239,90,66,1260
390,443,510,67,53,22,-3534
599,487,546,64,49,21,-663
579,443,543,67,53,22,-3534
29,48,80,32,19,8,482
14,26,44,18,15,5,478
-3,67,111,44,70,40,543
39,45,80,30,19,8,820
46,52,94,36,21,10,862
94,163,325,162,69,45,1091
87,153,306,153,66,42,1319
128,150,265,99,64,32,798
105,120,220,86,49,26,490
76,103,192,77,52,25,423
52,63,119,49,28,16,611
50,65,114,50,27,16,587
26,74,132,59,51,22,403
62,84,164,70,42,21,957
32,53,89,36,21,10,838
23,42,70,28,19,7,875
34,42,75,28,19,7,875
56,99,167,68,43,21,445
65,84,151,58,40,18,331
83,99,178,68,43,21,438
86,104,188,72,46,23,461
31,173,297,124,142,112,717
16,130,223,93,114,84,692
25,132,242,95,115,86,554
47,184,314,133,140,120,705
8,105,180,75,97,68,522
-3,75,128,53,78,48,597
-3,76,131,55,79,49,627
0,87,160,63,87,57,506
-7,66,112,47,66,42,622
18,66,128,54,54,20,301
22,72,129,58,52,22,338
25,74,132,59,52,22,377
25,74,132,59,52,22,403
28,77,139,63,53,23,397
34,82,159,67,59,25,391
77,103,187,86,44,26,1081
71,94,185,80,46,24,1055
76,96,188,80,45,24,1079
75,135,225,90,60,29,1139
171,186,329,123,71,40,932
171,188,334,125,73,41,1119
30,51,85,34,21,9,777
29,49,82,33,20,9,768
47,71,119,48,24,13,834
47,51,95,34,22,9,777
45,51,92,35,21,9,776
62,70,117,48,23,13,839
70,113,180,67,43,20,400
66,109,174,65,43,20,372
41,78,125,47,37,14,371
40,65,103,39,33,12,380
27,65,110,45,38,14,410
31,67,113,46,36,14,454
31,67,113,46,36,14,449
35,62,110,48,27,15,617
31,43,81,33,22,10,577
239,247,486,209,86,64,969
106,107,213,83,41,27,623
125,117,211,81,33,22,441
70,101,179,67,54,22,-1239
86,150,249,99,64,32,798
104,116,224,84,51,26,500
32,173,297,124,141,112,717
86,112,208,83,54,27,575
10,29,51,22,19,7,573
38,62,105,43,24,12,864
41,65,110,45,24,12,885
33,60,106,46,27,15,608
53,87,155,68,34,22,587
66,104,185,81,38,26,551
43,56,107,44,27,14,618
43,55,104,43,26,14,613
40,56,98,43,25,14,597
29,48,80,32,19,8,817
27,47,79,32,20,8,813
25,45,75,30,20,8,820
22,42,71,29,20,8,835
19,36,60,24,17,6,856
16,34,57,23,18,6,868
16,33,55,22,17,6,865
40,47,84,32,20,8,813
31,39,70,27,18,7,859
28,48,80,32,20,8,456
13,29,49,20,16,5,464
15,32,53,21,17,5,480
24,32,56,21,16,5,454
67,126,210,84,59,27,651
63,120,200,80,57,26,640
79,141,235,94,62,31,697
103,172,286,114,69,37,810
65,123,205,82,58,27,788
72,133,221,88,61,29,817
104,126,235,84,62,27,651
93,120,213,80,57,26,640
110,134,237,88,60,29,653
142,172,283,114,64,37,822
129,150,265,99,63,32,798
96,123,218,82,58,27,788
19,74,133,59,55,22,403
16,70,126,56,54,21,385
22,80,145,65,58,24,403
23,72,129,58,51,22,338
33,80,155,65,58,24,403
15,128,220,92,113,83,541
17,132,227,95,115,86,532
16,132,227,95,116,86,554
32,173,297,124,141,112,717
17,134,230,96,117,87,683
16,111,213,79,106,72,551
22,128,234,92,113,83,541
44,173,294,124,131,112,717
47,184,314,133,140,120,705
24,130,238,93,114,84,692
22,130,239,94,115,85,694
66,116,200,84,50,26,500
70,120,206,86,50,26,300
74,125,214,89,51,27,94
76,127,218,91,51,28,-1785
103,116,224,84,52,26,500
110,125,228,89,51,27,94
145,164,279,118,55,36,-660
177,195,333,141,62,43,-942
113,127,232,91,51,28,-1785
132,143,261,102,54,31,-2003
64,123,205,82,59,27,788
108,133,236,88,60,29,817
58,85,144,59,27,16,842
51,103,180,77,52,25,423
58,112,195,83,54,27,575
13,67,121,54,54,20,391
53,99,182,83,46,25,1063
74,96,188,80,46,24,1079
-180,-27,135,154,94,50,1288
62,225,384,162,167,147,943
106,145,245,100,39,28,822
150,139,249,95,38,26,799
67,107,190,83,40,27,574
101,107,202,83,39,27,613
79,79,142,54,26,15,601
159,245,452,207,86,64,965
279,284,559,241,96,74,1321
